charger_id,timestamp,energy_kwh,voltage,current,temperature,soc_percent,status,ai_status,ai_score
OVN-EV-001,2026-03-25 08:37:41.612447,13.59,381.77,32.0,37.29,69.61,Charging,Unknown,0
OVN-EV-002,2026-03-25 08:37:41.615776,22.1,398.32,32.56,37.61,84.64,Charging,Unknown,0
OVN-EV-003,2026-03-25 08:37:41.617786,17.82,394.69,29.79,30.57,64.61,Charging,Unknown,0
OVN-EV-001,2026-03-25 08:37:44.621605,13.78,395.35,35.5,43.14,22.63,Charging,Unknown,0
OVN-EV-002,2026-03-25 08:37:44.621605,17.75,410.66,31.25,36.03,91.16,Charging,Unknown,0
OVN-EV-003,2026-03-25 08:37:44.621605,16.88,382.8,33.33,30.72,29.44,Charging,Unknown,0
OVN-EV-001,2026-03-25 08:37:47.632842,20.98,415.43,33.73,30.27,86.61,Charging,Unknown,0
OVN-EV-003,2026-03-25 08:37:47.636861,16.66,412.92,32.57,41.63,57.49,Charging,Unknown,0
OVN-EV-002,2026-03-25 08:37:47.640424,13.9,395.65,29.69,44.35,85.59,Charging,Unknown,0
OVN-EV-001,2026-03-25 08:37:50.651131,15.64,413.91,32.02,35.58,94.32,Charging,Unknown,0
OVN-EV-002,2026-03-25 08:37:50.651131,11.02,388.11,35.65,30.54,38.18,Charging,Unknown,0
OVN-EV-003,2026-03-25 08:37:50.651131,14.11,410.33,28.12,40.85,71.01,Charging,Unknown,0
OVN-EV-001,2026-03-25 08:37:53.668210,15.2,394.86,30.67,33.64,46.07,Charging,Unknown,0
OVN-EV-003,2026-03-25 08:37:53.670220,10.88,406.44,31.02,35.83,22.06,Charging,Unknown,0
OVN-EV-002,2026-03-25 08:37:53.672228,12.66,399.85,30.23,43.16,39.53,Charging,Unknown,0
OVN-EV-001,2026-03-25 08:37:56.692884,15.62,498.73,88.51,78.18,84.61,ANOMALY,Unknown,0
OVN-EV-002,2026-03-25 08:37:56.692884,17.05,417.31,29.89,39.28,41.59,Charging,Unknown,0
OVN-EV-003,2026-03-25 08:37:56.694911,10.23,396.99,34.42,30.92,20.26,Charging,Unknown,0
OVN-EV-001,2026-03-25 08:37:59.708796,12.82,400.56,35.73,44.49,45.14,Charging,Unknown,0
OVN-EV-003,2026-03-25 08:37:59.710451,22.47,400.04,33.58,42.17,33.5,Charging,Unknown,0
OVN-EV-002,2026-03-25 08:37:59.712462,20.42,399.31,33.93,36.08,31.1,Charging,Unknown,0
OVN-EV-002,2026-03-25 08:38:02.725067,14.15,394.7,28.24,43.75,44.44,Charging,Unknown,0
OVN-EV-003,2026-03-25 08:38:02.725909,22.05,386.62,30.8,38.16,40.05,Charging,Unknown,0
OVN-EV-001,2026-03-25 08:38:02.727084,21.0,385.73,28.06,31.98,58.35,Charging,Unknown,0
OVN-EV-002,2026-03-25 08:38:05.735165,10.96,408.65,33.96,41.91,83.73,Charging,Unknown,0
OVN-EV-003,2026-03-25 08:38:05.735165,10.3,383.62,30.42,40.78,94.99,Charging,Unknown,0
OVN-EV-001,2026-03-25 08:38:05.735165,20.79,399.14,32.61,31.11,51.06,Charging,Unknown,0
OVN-EV-002,2026-03-25 08:38:08.750407,22.35,487.95,92.89,70.07,89.37,ANOMALY,Unknown,0
OVN-EV-003,2026-03-25 08:38:08.750407,10.12,388.12,31.46,37.68,22.46,Charging,Unknown,0
OVN-EV-001,2026-03-25 08:38:08.750407,22.99,394.05,30.59,39.8,30.91,Charging,Unknown,0
OVN-EV-002,2026-03-25 08:38:11.759096,24.75,388.97,31.79,40.07,90.87,Charging,Unknown,0
OVN-EV-003,2026-03-25 08:38:11.761105,15.61,393.56,32.39,35.75,79.74,Charging,Unknown,0
OVN-EV-001,2026-03-25 08:38:11.761105,18.73,411.14,28.33,43.88,23.55,Charging,Unknown,0
OVN-EV-002,2026-03-25 08:38:14.757944,23.35,388.44,35.56,38.33,91.6,Charging,Unknown,0
OVN-EV-003,2026-03-25 08:38:14.757944,11.99,387.96,32.41,38.47,49.67,Charging,Unknown,0
OVN-EV-001,2026-03-25 08:38:14.759635,13.37,395.92,33.22,38.48,46.9,Charging,Unknown,0
OVN-EV-002,2026-03-25 08:38:17.756746,11.96,393.1,33.9,40.9,82.12,Charging,Unknown,0
OVN-EV-003,2026-03-25 08:38:17.756746,11.53,384.1,33.04,41.55,67.89,Charging,Unknown,0
OVN-EV-001,2026-03-25 08:38:17.756746,12.59,410.58,34.45,34.86,87.02,Charging,Unknown,0
OVN-EV-002,2026-03-25 08:38:20.764023,19.02,407.28,34.05,39.31,38.4,Charging,Unknown,0
OVN-EV-003,2026-03-25 08:38:20.764023,20.95,402.73,30.04,35.4,67.66,Charging,Unknown,0
OVN-EV-001,2026-03-25 08:38:20.764023,21.43,469.75,82.33,71.9,85.78,ANOMALY,Unknown,0
